"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","from","to","from.pitch","to.pitch","proportion.exit"
"1","pitch",2,"0_0",7011,0.184859188288546,111,0.184859188288546,1,0,0,"C","C",0.587079786593303
"2","pitch",2,"7_7",1827,0.0576130458548617,74,0.242472234143408,2,7,7,"G","G",0.386815184210479
"3","pitch",2,"2_0",1601,0.0437458472203425,72,0.286218081363751,3,2,0,"D","C",0.383323116368383
"4","pitch",2,"4_4",1659,0.0367649961779626,47,0.322983077541713,4,4,4,"E","E",0.350882779470109
"5","pitch",2,"4_2",1088,0.0319502754285821,48,0.354933352970295,5,4,2,"E","D",0.304931391613643
"6","pitch",2,"2_2",1083,0.0283190820804055,54,0.383252435050701,6,2,2,"D","D",0.248146040950492
"7","pitch",2,"5_5",773,0.0280510362566456,57,0.411303471307346,7,5,5,"F","F",0.293051187746088
"8","pitch",2,"7_5",968,0.0274389541172605,63,0.438742425424607,8,7,5,"G","F",0.18422570676352
"9","pitch",2,"3_3",803,0.0258436107878577,41,0.464586036212465,9,3,3,"Eb","Eb",0.339128931373121
"10","pitch",2,"0_2",935,0.0248672965206619,63,0.489453332733127,10,0,2,"C","D",0.0789740952000444
"11","pitch",2,"7_0",685,0.023861325350477,59,0.513314658083604,11,7,0,"G","C",0.160205433057695
"12","pitch",2,"0_7",630,0.0225130912933845,63,0.535827749376988,12,0,7,"C","G",0.07149755959896
"13","pitch",2,"3_0",636,0.0209380311460293,45,0.556765780523017,13,3,0,"Eb","C",0.274756193548085
"14","pitch",2,"2_4",697,0.0177884508177228,36,0.57455423134074,14,2,4,"D","E",0.155871353193141
"15","pitch",2,"0_3",597,0.0176474307739849,41,0.592201662114725,15,0,3,"C","Eb",0.0560450902583187
"16","pitch",2,"9_7",673,0.0171355780075397,43,0.609337240122265,16,9,7,"A","G",0.43868912445615
"17","pitch",2,"5_3",437,0.0166884793016247,42,0.62602571942389,17,5,3,"F","Eb",0.17434574025259
"18","pitch",2,"0_10",510,0.0154762989116065,43,0.641502018335496,18,0,10,"C","Bb",0.0491499629874932
"19","pitch",2,"4_0",426,0.0141145837815786,41,0.655616602117075,19,4,0,"E","C",0.134708687697692
"20","pitch",2,"5_7",541,0.0140421511558914,45,0.669658753272966,20,5,7,"F","G",0.146699360305064
"21","pitch",2,"5_4",615,0.0138969304215642,35,0.68355568369453,21,5,4,"F","E",0.145182228877527
"22","pitch",2,"10_10",462,0.0130721761748966,27,0.696627859869427,22,10,10,"Bb","Bb",0.321565195695835
"23","pitch",2,"7_4",379,0.0128384629450723,33,0.709466322814499,23,7,4,"G","E",0.0861977063595652
"24","pitch",2,"0_4",367,0.0127072507263073,47,0.722173573540806,24,0,4,"C","E",0.0403559601968149
"25","pitch",2,"0_9",414,0.0124161927350804,31,0.734589766275887,25,0,9,"C","A",0.039431611967453
"26","pitch",2,"10_0",342,0.0115542921031472,34,0.746144058379034,26,10,0,"Bb","C",0.284226447958253
"27","pitch",2,"4_7",317,0.010681420493939,36,0.756825478872973,27,4,7,"E","G",0.101942796171127
"28","pitch",2,"0_11",257,0.0106403154314854,26,0.767465794304458,28,0,11,"C","B",0.033791742626563
"29","pitch",2,"11_0",264,0.0100378547847106,19,0.777503649089169,29,11,0,"B","C",0.424473402324614
"30","pitch",2,"5_2",334,0.00970911719277261,33,0.787212766281942,30,5,2,"F","D",0.101431843703596
"31","pitch",2,"2_5",254,0.00944179678053808,29,0.79665456306248,31,2,5,"D","F",0.0827337723693647
"32","pitch",2,"9_9",415,0.00873086576259858,29,0.805385428825078,32,9,9,"A","A",0.223519501673843
"33","pitch",2,"5_0",214,0.00855485998067181,35,0.81394028880575,33,5,0,"F","C",0.0893732358191726
"34","pitch",2,"3_5",220,0.00844718081323722,32,0.822387469618987,34,3,5,"Eb","F",0.110846871430775
"35","pitch",2,"3_2",286,0.00833349730436679,26,0.830720966923354,35,3,2,"Eb","D",0.109355076526633
"36","pitch",2,"1_1",279,0.00828879065673906,11,0.839009757580093,36,1,1,"C#","C#",0.500676130479168
"37","pitch",2,"0_5",171,0.00822684875753194,37,0.847236606337625,37,0,5,"C","F",0.0261270032483772
"38","pitch",2,"7_9",323,0.00699687008943798,27,0.854233476427063,38,7,9,"G","A",0.0469771308283357
"39","pitch",2,"10_7",234,0.00660439782400869,24,0.860837874251072,39,10,7,"Bb","G",0.16246296334415
"40","pitch",2,"7_3",257,0.00604059158495047,20,0.866878465836022,40,7,3,"G","Eb",0.0405566571251797
"41","pitch",2,"4_5",349,0.00603112725498462,25,0.872909593091007,41,4,5,"E","F",0.0575606939906448
"42","pitch",2,"8_8",305,0.00557472128435945,15,0.878484314375366,42,8,8,"Ab","Ab",0.338539655412825
"43","pitch",2,"9_0",181,0.0055347102154316,26,0.884019024590798,43,9,0,"A","C",0.141694501198492
"44","pitch",2,"2_3",199,0.00511721334179485,19,0.889136237932593,44,2,3,"D","Eb",0.0448395971260678
"45","pitch",2,"3_7",238,0.00506414721192032,21,0.894200385144513,45,3,7,"Eb","G",0.0664535171339759
"46","pitch",2,"2_7",156,0.00477586497909745,21,0.89897625012361,46,2,7,"D","G",0.0418485310827619
"47","pitch",2,"7_2",113,0.00433838531827611,20,0.903314635441887,47,7,2,"G","D",0.0291280089633275
"48","pitch",2,"11_11",141,0.00422470868905109,14,0.907539344130938,48,11,11,"B","B",0.178651366206587
"49","pitch",2,"7_10",119,0.00379263476646471,20,0.911331978897402,49,7,10,"G","Bb",0.0254638284448437
"50","pitch",2,"1_0",152,0.00375302992993604,7,0.915085008827338,50,1,0,"C#","C",0.226698028784832
"51","pitch",2,"11_9",138,0.00336649917824613,11,0.918451508005585,51,11,9,"B","A",0.142360035163066
"52","pitch",2,"7_6",101,0.00303679003039339,13,0.921488298035978,52,7,6,"G","F#",0.0203890712179044
"53","pitch",2,"0_1",122,0.00299201920135221,8,0.92448031723733,53,0,1,"C","C#",0.00950211893969327
"54","pitch",2,"10_2",101,0.00288308866957193,11,0.927363405906902,54,10,2,"Bb","D",0.0709217011640124
"55","pitch",2,"8_0",69,0.00280954702451793,13,0.93017295293142,55,8,0,"Ab","C",0.170617154298812
"56","pitch",2,"3_1",109,0.00279417991900946,10,0.932967132850429,56,3,1,"Eb","C#",0.0366662096011414
"57","pitch",2,"8_7",85,0.00254030658234347,15,0.935507439432773,57,8,7,"Ab","G",0.154266818225031
"58","pitch",2,"10_8",97,0.0024826106501288,13,0.937990050082902,58,10,8,"Bb","Ab",0.0610702586060843
"59","pitch",2,"3_10",94,0.00240704588228938,8,0.940397095965191,59,3,10,"Eb","Bb",0.0315861008946317
"60","pitch",2,"4_9",95,0.00219569377828481,14,0.942592789743476,60,4,9,"E","A",0.020955561427519
"61","pitch",2,"6_4",48,0.00205761023984557,11,0.944650399983321,61,6,4,"F#","E",0.229423897646239
"62","pitch",2,"2_11",89,0.00204735278453478,11,0.946697752767856,62,2,11,"D","B",0.0179399348633124
"63","pitch",2,"0_8",55,0.0019155556828848,11,0.948613308450741,63,0,8,"C","Ab",0.00608346294240042
"64","pitch",2,"9_10",82,0.00186332994520652,8,0.950476638395948,64,9,10,"A","Bb",0.0477032395333208
"65","pitch",2,"10_9",67,0.00177272206366579,12,0.952249360459613,65,10,9,"Bb","A",0.0436075607986151
"66","pitch",2,"9_11",95,0.00173597795446222,12,0.953985338414076,66,9,11,"A","B",0.0444428923601596
"67","pitch",2,"6_3",56,0.00169798994858906,9,0.955683328362665,67,6,3,"F#","Eb",0.189326172967858
"68","pitch",2,"8_5",60,0.00168786466837472,10,0.957371193031039,68,8,5,"Ab","F",0.10250003436373
"69","pitch",2,"1_3",58,0.00166852656052875,9,0.959039719591568,69,1,3,"C#","Eb",0.100785682317607
"70","pitch",2,"5_8",29,0.00160549466033942,7,0.960645214251908,70,5,8,"F","Ab",0.0167727178713764
"71","pitch",2,"5_9",73,0.00158262367640512,13,0.962227837928313,71,5,9,"F","A",0.0165337830617835
"72","pitch",2,"8_6",51,0.00156097370986549,5,0.963788811638178,72,8,6,"Ab","F#",0.09479424618572
"73","pitch",2,"11_7",57,0.00154393801431958,9,0.965332749652498,73,11,7,"B","G",0.065288912419292
"74","pitch",2,"6_6",79,0.00152060817991401,10,0.966853357832412,74,6,6,"F#","F#",0.169548075078986
"75","pitch",2,"7_11",73,0.00148254831294004,6,0.968335906145352,75,7,11,"G","B",0.00995386010688488
"76","pitch",2,"9_5",72,0.00142905340912773,11,0.969764959554479,76,9,5,"A","F",0.0365852957265565
"77","pitch",2,"11_8",28,0.00139806132838966,4,0.971163020882869,77,11,8,"B","Ab",0.0591201866781276
"78","pitch",2,"2_9",45,0.00129732822080989,10,0.972460349103679,78,2,9,"D","A",0.0113678423931002
"79","pitch",2,"11_2",62,0.00127379330848914,7,0.973734142412168,79,11,2,"B","D",0.0538652322741587
"80","pitch",2,"6_7",41,0.0012395949141745,8,0.974973737326343,80,6,7,"F#","G",0.138215047342354
"81","pitch",2,"7_8",53,0.00123343834620389,12,0.976207175672547,81,7,8,"G","Ab",0.00828133062607147
"82","pitch",2,"2_10",24,0.00109115543745523,8,0.977298331110002,82,2,10,"D","Bb",0.00956125276579732
"83","pitch",2,"4_6",21,0.00106080683662214,7,0.978359137946624,83,4,6,"E","F#",0.0101242728140955
"84","pitch",2,"9_4",52,0.00105149007754019,12,0.979410628024164,84,9,4,"A","E",0.0269192706127258
"85","pitch",2,"10_5",20,0.00103716372896784,8,0.980447791753132,85,10,5,"Bb","F",0.0255134074856363
"86","pitch",2,"8_10",42,0.000905440859710946,8,0.981353232612843,86,8,10,"Ab","Bb",0.0549852846461106
"87","pitch",2,"3_6",35,0.000880613277663664,4,0.982233845890507,87,3,6,"Eb","F#",0.0115557165079801
"88","pitch",2,"5_10",23,0.000850859465541726,7,0.983084705356048,88,5,10,"F","Bb",0.00888898986478375
"89","pitch",2,"1_10",32,0.000809374686525216,4,0.983894080042574,89,1,10,"C#","Bb",0.0488894704835821
"90","pitch",2,"9_8",18,0.000788733312367721,5,0.984682813354941,90,9,8,"A","Ab",0.020192416391192
"91","pitch",2,"3_8",30,0.00077552587541831,5,0.98545833923036,91,3,8,"Eb","Ab",0.0101767227320411
"92","pitch",2,"6_2",37,0.000641562070083612,4,0.986099901300443,92,6,2,"F#","D",0.071534281784882
"93","pitch",2,"6_8",21,0.000638090027410702,3,0.986737991327854,93,6,8,"F#","Ab",0.0711471484262957
"94","pitch",2,"9_2",36,0.000631178582561241,8,0.987369169910415,94,9,2,"A","D",0.0161588467945132
"95","pitch",2,"0_6",21,0.000617668667477149,6,0.987986838577892,95,0,6,"C","F#",0.00196160544057913
"96","pitch",2,"1_8",32,0.000615350906488496,4,0.988602189484381,96,1,8,"C#","Ab",0.037169657614289
"97","pitch",2,"11_1",19,0.000610057975574131,4,0.989212247459955,97,11,1,"B","C#",0.0257976818813566
"98","pitch",2,"4_11",23,0.000571770154195377,5,0.98978401761415,98,4,11,"E","B",0.00545693789687875
"99","pitch",2,"4_3",27,0.000552443336298894,6,0.990336460950449,99,4,3,"E","Eb",0.00527248397910858
"100","pitch",2,"10_3",20,0.000518095645632201,8,0.990854556596081,100,10,3,"Bb","Eb",0.0127447431435949
"101","pitch",2,"4_1",33,0.000496173037613866,5,0.991350729633695,101,4,1,"E","C#",0.00473544383612467
"102","pitch",2,"10_1",6,0.000448068460017171,4,0.991798798093712,102,10,1,"Bb","C#",0.0110221297588725
"103","pitch",2,"11_4",14,0.000406873917027134,5,0.99220567201074,103,11,4,"B","E",0.0172055842191215
"104","pitch",2,"1_11",24,0.000403067438351926,5,0.992608739449091,104,1,11,"C#","B",0.024346886501726
"105","pitch",2,"8_4",24,0.000394380001333915,5,0.993003119450425,105,8,4,"Ab","E",0.0239497659063029
"106","pitch",2,"3_4",19,0.000388101641749229,5,0.993391221092175,106,3,4,"Eb","E",0.00509280595931308
"107","pitch",2,"1_4",12,0.000361722429190866,4,0.993752943521365,107,1,4,"C#","E",0.0218494824703484
"108","pitch",2,"1_5",13,0.000351979206151513,1,0.994104922727517,108,1,5,"C#","F",0.021260952802782
"109","pitch",2,"4_8",22,0.000344201278974491,5,0.994449124006492,109,4,8,"E","Ab",0.00328503506104345
"110","pitch",2,"2_6",14,0.000324160026499853,3,0.994773284032991,110,2,6,"D","F#",0.00284045319625675
"111","pitch",2,"5_6",14,0.000318934931793581,4,0.995092218964785,111,5,6,"F","F#",0.00333193610819578
"112","pitch",2,"6_0",13,0.000316888987282189,5,0.995409107952067,112,6,0,"F#","C",0.0353331768940388
"113","pitch",2,"6_5",12,0.000304000618067957,4,0.995713108570135,113,6,5,"F#","F",0.0338961214973594
"114","pitch",2,"8_11",8,0.000296030430811681,3,0.996009139000947,114,8,11,"Ab","B",0.0179772288024283
"115","pitch",2,"8_1",26,0.000295878678053106,2,0.996305017679,115,8,1,"Ab","C#",0.017968013215859
"116","pitch",2,"3_11",5,0.000278447490515202,4,0.996583465169515,116,3,11,"Eb","B",0.00365388570030291
"117","pitch",2,"6_10",7,0.000274318158060162,3,0.996857783327575,117,6,10,"F#","Bb",0.0305865220723351
"118","pitch",2,"7_1",10,0.000269001596616814,2,0.997126784924192,118,7,1,"G","C#",0.00180608229619343
"119","pitch",2,"11_5",11,0.000268825647232147,4,0.997395610571424,119,11,5,"B","F",0.0113679007676575
"120","pitch",2,"8_3",16,0.000267581845485243,4,0.997663192416909,120,8,3,"Ab","Eb",0.0162496134146572
"121","pitch",2,"11_10",16,0.000250593987761578,4,0.997913786404671,121,11,10,"B","Bb",0.0105969337939886
"122","pitch",2,"5_11",16,0.000234191358561861,3,0.998147977763233,122,5,11,"F","B",0.00244661392037394
"123","pitch",2,"10_4",12,0.00021917007597896,1,0.998367147839212,123,10,4,"Bb","E",0.00539141053715201
"124","pitch",2,"5_1",10,0.000185924105863958,4,0.998553071945076,124,5,1,"F","C#",0.00194236246944903
"125","pitch",2,"6_11",5,0.000164844218335526,3,0.998717916163411,125,6,11,"F#","B",0.0183801588574046
"126","pitch",2,"1_7",6,0.000137528638131253,3,0.998855444801543,126,1,7,"C#","G",0.00830728018370716
"127","pitch",2,"11_6",6,0.000134870591356422,2,0.998990315392899,127,11,6,"B","F#",0.00570330812852496
"128","pitch",2,"11_3",4,0.000131705288699268,4,0.999122020681598,128,11,3,"B","Eb",0.00556945614350562
"129","pitch",2,"9_6",9,0.000110709315320253,3,0.999232729996918,129,9,6,"A","F#",0.00283427688202942
"130","pitch",2,"2_8",4,0.000106845389864258,2,0.999339575386783,130,2,8,"D","Ab",0.000936233046443705
"131","pitch",2,"8_2",3,9.59385992964503e-05,1,0.999435513986079,131,8,2,"Ab","D",0.00582612451634724
"132","pitch",2,"6_1",11,7.77484061576738e-05,1,0.999513262392237,132,6,1,"F#","C#",0.00866896073467008
"133","pitch",2,"1_9",3,6.79531741181803e-05,3,0.999581215566355,133,1,9,"C#","A",0.00410464369052514
"134","pitch",2,"2_1",5,6.75460706416198e-05,3,0.999648761636997,134,2,1,"D","C#",0.00059187264487918
"135","pitch",2,"1_2",5,6.25305596948279e-05,4,0.999711292196692,135,1,2,"C#","D",0.00377709607604204
"136","pitch",2,"3_9",3,5.54754702916617e-05,2,0.999766767666983,136,3,9,"Eb","A",0.000727968591999989
"137","pitch",2,"10_6",3,5.03522117579029e-05,2,0.999817119878741,137,10,6,"Bb","F#",0.00123862458790464
"138","pitch",2,"8_9",4,3.83031695872833e-05,1,0.999855423048328,138,8,9,"Ab","A",0.0023260610121763
"139","pitch",2,"1_6",5,3.53401846171244e-05,1,0.999890763232945,139,1,6,"C#","F#",0.00213468859539063
"140","pitch",2,"6_9",5,3.53401846171244e-05,1,0.999926103417563,140,6,9,"F#","A",0.00394043669757731
"141","pitch",2,"9_3",2,3.25976435116715e-05,2,0.999958701061074,141,9,3,"A","Eb",0.000834534538909435
"142","pitch",2,"9_1",2,1.66438293202457e-05,2,0.999975344890395,142,9,1,"A","C#",0.000426099832108582
"143","pitch",2,"4_10",1,1.50793172085168e-05,1,0.999990424207603,143,4,10,"E","Bb",0.000143916042015186
"144","pitch",2,"10_11",1,9.57579239682084e-06,1,1,144,10,11,"Bb","B",0.000235556919890634
