"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1416","relative rhythm",2,"x1.00",17779,0.484043603822516,116,0.484043603822516,1,0.493325979801099
"1417","relative rhythm",2,"x2.00",5200,0.147359996334209,114,0.631403600156724,2,0.190786146311085
"1418","relative rhythm",2,"x0.50",5018,0.133028994116289,116,0.764432594273014,3,0.0959403416288536
"1419","relative rhythm",2,"x0.33",1245,0.0470882501406074,98,0.811520844413621,4,0.0559650396508432
"1420","relative rhythm",2,"x3.00",1409,0.0434860171069927,93,0.855006861520614,5,0.03592035377389
"1421","relative rhythm",2,"x1.50",827,0.0232417923902974,77,0.878248653910911,6,0.024645957380435
"1422","relative rhythm",2,"x4.00",640,0.0213904030948651,76,0.899639057005777,7,0.0177639443973644
"1423","relative rhythm",2,"x0.67",673,0.0177970289441823,65,0.917436085949959,8,0.0132975047857151
"1424","relative rhythm",2,"x0.25",432,0.0153230402967381,71,0.932759126246697,9,0.0102571999571949
"1425","relative rhythm",2,"x6.00",236,0.00734153103352579,38,0.940100657280223,10,0.008107144898453
"1426","relative rhythm",2,"x0.75",151,0.00580326460443655,42,0.945903921884659,11,0.00653839081009876
"1427","relative rhythm",2,"x1.33",191,0.00525964931473721,42,0.951163571199396,12,0.00536354731918625
"1428","relative rhythm",2,"x8.00",123,0.00469970620898389,26,0.95586327740838,13,0.00446406764358009
"1429","relative rhythm",2,"x5.00",143,0.00457130935360654,40,0.960434586761987,14,0.0037622472173959
"1430","relative rhythm",2,"x0.12",77,0.00434646445941705,23,0.964781051221404,15,0.00320558343222105
"1431","relative rhythm",2,"x0.20",128,0.00413955590351745,34,0.968920607124921,16,0.00275765852248851
"1432","relative rhythm",2,"x0.14",35,0.00363822659324327,11,0.972558833718165,17,0.00239262584735857
"1433","relative rhythm",2,"x0.17",111,0.00351490770707351,34,0.976073741425238,18,0.00209176688001231
"1434","relative rhythm",2,"x7.00",66,0.0024987225171761,16,0.978572463942414,19,0.00184127987944623
"1435","relative rhythm",2,"x0.88",9,0.002007136485281,1,0.980579600427695,20,0.00163082377612853
"1436","relative rhythm",2,"x2.67",49,0.00153737392647094,14,0.982116974354166,21,0.00145253778100124
"1437","relative rhythm",2,"x0.40",49,0.00124432438463363,15,0.9833612987388,22,0.00130036797621885
"1438","relative rhythm",2,"x2.50",67,0.00123038938948524,16,0.984591688128285,23,0.00116959634453069
"1439","relative rhythm",2,"x2.25",30,0.00111925296496688,10,0.985710941093252,24,0.00105650594264587
"1440","relative rhythm",2,"x0.60",55,0.00102182301832297,8,0.986732764111575,25,0.000958139282519197
"1441","relative rhythm",2,"x0.38",19,0.000911384341654585,11,0.987644148453229,26,0.000872121573635243
"1442","relative rhythm",2,"x9.00",31,0.000720793242405651,10,0.988364941695635,27,0.000796529779758519
"1443","relative rhythm",2,"x0.10",26,0.000665557704487209,11,0.989030499400122,28,0.000729794484647358
"1444","relative rhythm",2,"x3.50",16,0.000556136622976896,10,0.989586636023099,29,0.000670625553324446
"1445","relative rhythm",2,"x0.22",20,0.000540397568828405,5,0.990127033591928,30,0.000617955255839392
"1446","relative rhythm",2,"x0.44",12,0.000530206024623181,8,0.990657239616551,31,0.000570894346725904
"1447","relative rhythm",2,"x1.25",12,0.000498148965533464,6,0.991155388582084,32,0.000528697854789165
"1448","relative rhythm",2,"x12.00",28,0.000469422409597087,9,0.991624810991681,33,0.000490738220286785
"1449","relative rhythm",2,"x4.50",17,0.000410571417146645,6,0.992035382408828,34,0.000456484041222046
"1450","relative rhythm",2,"x32.00",5,0.000399261245912853,3,0.992434643654741,35,0.000425483137578452
"1451","relative rhythm",2,"x0.06",7,0.000392879568459624,3,0.992827523223201,36,0.000397348965695591
"1452","relative rhythm",2,"x16.00",10,0.000383687388981629,6,0.993211210612182,37,0.000371749651156461
"1453","relative rhythm",2,"x0.29",22,0.000335849493262063,4,0.993547060105444,38,0.000348399082632068
"1454","relative rhythm",2,"x0.43",9,0.000293356297497441,5,0.993840416402942,39,0.000327049638552057
"1455","relative rhythm",2,"x0.11",7,0.00028349010037413,5,0.994123906503316,40,0.000307486215484655
"1456","relative rhythm",2,"x1.67",13,0.000279186587602884,4,0.994403093090919,41,0.000289521300395402
"1457","relative rhythm",2,"x3.33",7,0.000274702362977402,4,0.994677795453896,42,0.000272990884722898
"1458","relative rhythm",2,"x4.33",7,0.000250575142834773,2,0.994928370596731,43,0.00025775106094449
"1459","relative rhythm",2,"x1.14",3,0.00024905072961244,2,0.995177421326343,44,0.000243675175268785
"1460","relative rhythm",2,"x0.08",6,0.00022655102603603,5,0.995403972352379,45,0.000230651435679471
"1461","relative rhythm",2,"x0.80",6,0.000221641118832791,6,0.995625613471212,46,0.000218580894535994
"1462","relative rhythm",2,"x0.09",8,0.00021759047182776,2,0.99584320394304,47,0.000207375740629016
"1463","relative rhythm",2,"x10.00",9,0.000210215785722368,4,0.996053419728762,48,0.000196957847980181
"1464","relative rhythm",2,"x1.75",5,0.000200667739327191,5,0.996254087468089,49,0.000187257538511838
"1465","relative rhythm",2,"x0.57",6,0.000194358103756383,6,0.996448445571846,50,0.000178212523559197
"1466","relative rhythm",2,"x0.71",13,0.000179493417673614,2,0.996627938989519,51,0.000169766995487029
"1467","relative rhythm",2,"x2.33",13,0.000173650787222259,2,0.996801589776742,52,0.000161870845737746
"1468","relative rhythm",2,"x18.00",4,0.000161123042478975,2,0.996962712819221,53,0.000154478989733903
"1469","relative rhythm",2,"x5.50",2,0.00015938978211689,2,0.997122102601337,54,0.000147550782385099
"1470","relative rhythm",2,"x0.90",11,0.000148676776687481,1,0.997270779378025,55,0.000141049510662343
"1471","relative rhythm",2,"x11.00",10,0.000147490421200561,4,0.997418269799226,56,0.000134941951924071
"1472","relative rhythm",2,"x0.35",1,0.000128402670775552,1,0.997546672470001,57,0.000129197988503233
"1473","relative rhythm",2,"x0.64",1,0.000128402670775552,1,0.997675075140777,58,0.000123790270570107
"1474","relative rhythm",2,"x0.73",1,0.000128402670775552,1,0.997803477811552,59,0.00011869392053132
"1475","relative rhythm",2,"x14.67",1,0.000128402670775552,1,0.997931880482328,60,0.000113886273259939
"1476","relative rhythm",2,"x23.00",1,0.000128402670775552,1,0.998060283153103,61,0.000109346647313326
"1477","relative rhythm",2,"x44.00",1,0.000128402670775552,1,0.998188685823879,62,0.000105056143015564
"1478","relative rhythm",2,"x14.00",5,0.000124635337200202,4,0.998313321161079,63,0.000100997463884935
"1479","relative rhythm",2,"x1.12",4,0.00012310070272974,2,0.998436421863809,64,9.71547583943593e-05
"1480","relative rhythm",2,"x20.00",3,9.86909361615124e-05,2,0.99853511279997,65,9.35134794805449e-05
"1481","relative rhythm",2,"x24.00",6,8.92099621598035e-05,3,0.99862432276213,66,9.00602595792143e-05
"1482","relative rhythm",2,"x2.75",2,7.27431439586819e-05,1,0.998697065906089,67,8.67827992703088e-05
"1483","relative rhythm",2,"x7.50",2,6.87775233571927e-05,2,0.998765843429446,68,8.36697678775527e-05
"1484","relative rhythm",2,"x0.18",2,6.67114030626956e-05,2,0.998832554832509,69,8.07107145886479e-05
"1485","relative rhythm",2,"x0.86",3,6.55485109500114e-05,2,0.998898103343459,70,7.78959888518562e-05
"1486","relative rhythm",2,"x13.00",3,6.37047802927214e-05,2,0.998961808123751,71,7.52166689669178e-05
"1487","relative rhythm",2,"x35.00",1,6.09681746128521e-05,1,0.999022776298364,72,7.26644979273929e-05
"1488","relative rhythm",2,"x0.89",2,5.74519135863626e-05,2,0.999080228211951,73,7.02318256911441e-05
"1489","relative rhythm",2,"x30.00",3,5.65454510994939e-05,2,0.99913677366305,74,6.79115571587571e-05
"1490","relative rhythm",2,"x15.00",4,5.59359807341535e-05,2,0.999192709643784,75,6.56971052286965e-05
"1491","relative rhythm",2,"x1.80",3,5.35366846086163e-05,2,0.999246246328393,76,6.3582348374995e-05
"1492","relative rhythm",2,"x0.16",4,5.20711291624359e-05,1,0.999298317457555,77,6.15615922600272e-05
"1493","relative rhythm",2,"x1.60",4,5.20711291624359e-05,1,0.999350388586718,78,5.96295349528962e-05
"1494","relative rhythm",2,"x2.78",4,5.20711291624359e-05,1,0.99940245971588,79,5.77812353744113e-05
"1495","relative rhythm",2,"x0.30",2,5.15451329802608e-05,2,0.99945400484886,80,5.60120846336181e-05
"1496","relative rhythm",2,"x1.17",2,5.01401904569451e-05,2,0.999504145039317,81,5.43177799592493e-05
"1497","relative rhythm",2,"x0.07",3,4.62249614791988e-05,1,0.999550370000797,82,5.26943009630653e-05
"1498","relative rhythm",2,"x0.56",2,3.78580654486538e-05,2,0.999588228066245,83,5.11378880014989e-05
"1499","relative rhythm",2,"x0.83",2,3.48747994699031e-05,1,0.999623102865715,84,4.96450224278616e-05
"1500","relative rhythm",2,"x0.15",1,3.47318699638789e-05,1,0.999657834735679,85,4.82124085500875e-05
"1501","relative rhythm",2,"x17.00",1,3.47318699638789e-05,1,0.999692566605643,86,4.68369571289992e-05
"1502","relative rhythm",2,"x3.67",1,3.23457109587269e-05,1,0.999724912316602,87,4.55157702697186e-05
"1503","relative rhythm",2,"x4.67",1,3.23457109587269e-05,1,0.99975725802756,88,4.42461275744276e-05
"1504","relative rhythm",2,"x7.33",1,3.19795330988168e-05,1,0.999789237560659,89,4.30254734384644e-05
"1505","relative rhythm",2,"x1.40",2,3.08166409861325e-05,1,0.999820054201645,90,4.1851405383944e-05
"1506","relative rhythm",2,"x2.40",2,2.3961322961423e-05,2,0.999844015524607,91,4.07216633359188e-05
"1507","relative rhythm",2,"x6.50",2,2.17018598493891e-05,1,0.999865717384456,92,3.96341197557095e-05
"1508","relative rhythm",2,"x22.00",1,2.05195551360447e-05,1,0.999886236939592,93,3.8586770554583e-05
"1509","relative rhythm",2,"x0.36",1,1.81468442637825e-05,1,0.999904383783856,94,3.75777267185744e-05
"1510","relative rhythm",2,"x3.40",1,1.74373997349515e-05,1,0.999921821183591,95,3.66052065820302e-05
"1511","relative rhythm",2,"x5.33",1,1.74373997349515e-05,1,0.999939258583326,96,3.56675286935175e-05
"1512","relative rhythm",2,"x0.21",1,1.63601858517113e-05,1,0.999955618769178,97,3.47631052231548e-05
"1513","relative rhythm",2,"x1.29",1,1.54083204930663e-05,1,0.999971027089671,98,3.3890435865269e-05
"1514","relative rhythm",2,"x0.26",1,1.44864551644213e-05,1,0.999985513544835,99,3.30481021946258e-05
"1515","relative rhythm",2,"x19.00",1,1.44864551644213e-05,1,1,100,3.22347624383748e-05
