"song","tempo_adj","macrometer_ord","syncopate","accent","dynamics","ritard_accel","micrometer_duple","micrometer_triple","macrometer_duple","macrometer_triple","variation_rhythmic","variation_melodic","ornament","vibrato","tension","scale_quality_minor"
1,110.41935483871,3.48387096774194,0.209677419354839,0.338709677419355,0.161290322580645,0.0967741935483871,0.741935483870968,0.0967741935483871,0.516129032258065,0.032258064516129,0.225806451612903,0,0.193548387096774,0.354838709677419,0.709677419354839,1
2,64.0967741935484,2.87096774193548,0.161290322580645,0.387096774193548,0.419354838709677,0.161290322580645,0.709677419354839,0.193548387096774,0.193548387096774,0.0967741935483871,0.580645161290323,0.32258064516129,0.193548387096774,0.225806451612903,1.45161290322581,0.739130434782609
3,107.637096774194,4,0.67741935483871,0.661290322580645,0.838709677419355,0.0645161290322581,0.354838709677419,0.612903225806452,0.806451612903226,0.0645161290322581,0.709677419354839,0.645161290322581,0.580645161290323,0.387096774193548,2.32258064516129,0.137931034482759
4,115.41935483871,4.70967741935484,0.661290322580645,0.709677419354839,0.161290322580645,0.032258064516129,0.967741935483871,0.032258064516129,0.903225806451613,0.032258064516129,0.580645161290323,0.483870967741935,0.935483870967742,0.193548387096774,1.58064516129032,0.516129032258065
5,102.741935483871,3.12903225806452,0.290322580645161,0.258064516129032,0.548387096774194,0.161290322580645,0.806451612903226,0.129032258064516,0.451612903225806,0.0645161290322581,0.548387096774194,0.709677419354839,0.419354838709677,0,1.64516129032258,0.0769230769230769
6,196.774219258065,4.06451612903226,0.774193548387097,0.67741935483871,0.548387096774194,0.0967741935483871,0.548387096774194,0.612903225806452,0.580645161290323,0.225806451612903,0.67741935483871,0.580645161290323,0.0967741935483871,0,2.32258064516129,0.333333333333333
7,150.096774193548,5.54838709677419,0.629032258064516,0.516129032258065,0.838709677419355,0.193548387096774,0.419354838709677,0.67741935483871,0.548387096774194,0.483870967741935,0.32258064516129,0.161290322580645,0.483870967741935,0.67741935483871,3.2258064516129,0
8,204.403225806452,5.45161290322581,0.806451612903226,0.629032258064516,0.806451612903226,0.193548387096774,0.903225806451613,0.225806451612903,0.967741935483871,0.0645161290322581,0.193548387096774,0.258064516129032,0.612903225806452,0.645161290322581,3.25806451612903,0
9,83.5590966774194,4.58064516129032,0.354838709677419,0.225806451612903,0.0967741935483871,0.0645161290322581,0.258064516129032,0.774193548387097,0.741935483870968,0.258064516129032,0.0967741935483871,0.032258064516129,0,0,2.19354838709677,0
10,91.4516542580645,4.64516129032258,0.806451612903226,0.67741935483871,0.67741935483871,0.032258064516129,0.806451612903226,0.419354838709677,0.741935483870968,0.129032258064516,0.258064516129032,0.225806451612903,0.354838709677419,0.290322580645161,2.54838709677419,0.25
11,68.8709677419355,4.29032258064516,0.274193548387097,0.370967741935484,0.483870967741935,0.193548387096774,0.967741935483871,0.032258064516129,0.645161290322581,0.32258064516129,0.32258064516129,0.387096774193548,0.483870967741935,0.0645161290322581,2.2258064516129,NA
12,184.75,5.54838709677419,0.758064516129032,0.451612903225806,0.290322580645161,0.32258064516129,1,0.032258064516129,0.935483870967742,0,0.516129032258065,0.516129032258065,0.580645161290323,0.161290322580645,2.38709677419355,0.0333333333333333
13,120.048387096774,5.32258064516129,0.370967741935484,0.661290322580645,0.548387096774194,0.193548387096774,0.935483870967742,0.032258064516129,0.967741935483871,0.032258064516129,0.354838709677419,0.161290322580645,0.451612903225806,0.290322580645161,2.2258064516129,0.9
14,111.83064516129,4.12903225806452,0.580645161290323,0.258064516129032,0.225806451612903,0.161290322580645,0.612903225806452,0.419354838709677,0.548387096774194,0.419354838709677,0.32258064516129,0.193548387096774,0.0967741935483871,0.161290322580645,1.80645161290323,0.0333333333333333
15,115.935483870968,4.54838709677419,0.0806451612903226,0.548387096774194,0.387096774193548,0,1,0,0.838709677419355,0.193548387096774,0.032258064516129,0.129032258064516,0.354838709677419,0.0645161290322581,1.70967741935484,0.3125
16,112.451612903226,5.58064516129032,0.419354838709677,0.532258064516129,0.387096774193548,0.0645161290322581,0.967741935483871,0.0967741935483871,0.967741935483871,0,0.612903225806452,0.419354838709677,0.290322580645161,0.032258064516129,2.19354838709677,0.0869565217391304
17,71.4516129032258,3.38709677419355,0.225806451612903,0.532258064516129,0.387096774193548,0,1,0,0.580645161290323,0.0645161290322581,0.612903225806452,0.774193548387097,0.516129032258065,0.032258064516129,2.19354838709677,0.111111111111111
18,128.733870967742,4,0.370967741935484,0.580645161290323,0.516129032258065,0.0645161290322581,0.193548387096774,0.935483870967742,0.709677419354839,0.32258064516129,0.451612903225806,0.290322580645161,0.870967741935484,0.580645161290323,2.32258064516129,0
19,158.483870967742,4.38709677419355,0.612903225806452,0.532258064516129,0,0,0.903225806451613,0.225806451612903,0.741935483870968,0.290322580645161,0.516129032258065,0.483870967741935,0.741935483870968,0.612903225806452,1.93548387096774,0.333333333333333
20,173.951612903226,3.19354838709677,0.564516129032258,0.67741935483871,0.483870967741935,0.258064516129032,0.774193548387097,0.129032258064516,0.387096774193548,0.129032258064516,0.354838709677419,0.193548387096774,0.67741935483871,0.290322580645161,1.90322580645161,0.166666666666667
21,103.483870967742,5.35483870967742,0.17741935483871,0.241935483870968,0.032258064516129,0,0.935483870967742,0.161290322580645,0.935483870967742,0,0.129032258064516,0.0645161290322581,0.0967741935483871,0.032258064516129,1.87096774193548,0
22,159.70564516129,5.41935483870968,0.67741935483871,0.596774193548387,0.354838709677419,0.032258064516129,0.516129032258065,0.67741935483871,0.967741935483871,0.032258064516129,0.129032258064516,0.258064516129032,0.161290322580645,0.32258064516129,2.93548387096774,NA
23,114.209638645161,3.2258064516129,0.435483870967742,0.5,0.193548387096774,0.032258064516129,0.967741935483871,0.129032258064516,0.32258064516129,0.225806451612903,0.419354838709677,0.258064516129032,0.0967741935483871,0.0645161290322581,1.29032258064516,0.96
24,152.967741935484,4,0.403225806451613,0.709677419354839,0.032258064516129,0.967741935483871,0.870967741935484,0.290322580645161,0.967741935483871,0.129032258064516,0.548387096774194,0.258064516129032,0.516129032258065,0.354838709677419,1.83870967741935,0.642857142857143
25,166.524193548387,4.80645161290323,0.870967741935484,0.564516129032258,0.548387096774194,0,0.290322580645161,0.806451612903226,0.741935483870968,0.0645161290322581,0.548387096774194,0.516129032258065,0.483870967741935,0.032258064516129,1.87096774193548,0.428571428571429
26,75.2177419354839,2.67741935483871,0.306451612903226,0.467741935483871,0.290322580645161,0.0645161290322581,0.709677419354839,0.161290322580645,0.290322580645161,0.161290322580645,0.612903225806452,0.580645161290323,0.838709677419355,0.354838709677419,2,0.625
27,103.91935483871,5.96774193548387,0.725806451612903,0.693548387096774,0.032258064516129,0,0.580645161290323,0.451612903225806,0.67741935483871,0.419354838709677,0.483870967741935,0.290322580645161,0.290322580645161,0.0645161290322581,2.09677419354839,0.166666666666667
28,87.8387096774194,3.25806451612903,0.516129032258065,0.370967741935484,0.258064516129032,0.129032258064516,0.903225806451613,0.129032258064516,0.548387096774194,0,0.709677419354839,0.741935483870968,0.419354838709677,0.0645161290322581,1.90322580645161,0.148148148148148
29,119.871014,5.67741935483871,0.419354838709677,0.532258064516129,0.0645161290322581,0,0.806451612903226,0.483870967741935,0.225806451612903,0.258064516129032,0.0645161290322581,0.161290322580645,1,0.516129032258065,2.64516129032258,0.25
30,184.252688935484,5.16129032258065,0.387096774193548,0.661290322580645,0.0967741935483871,0.0645161290322581,0.161290322580645,0.903225806451613,0.387096774193548,0.806451612903226,0.387096774193548,0.419354838709677,0.806451612903226,0.0967741935483871,2.7741935483871,0
31,130.666695387097,4.03225806451613,0.629032258064516,0.596774193548387,0.129032258064516,0.161290322580645,0.838709677419355,0.258064516129032,0.838709677419355,0.0645161290322581,0.32258064516129,0.193548387096774,0.32258064516129,0.67741935483871,2.03225806451613,0.363636363636364
32,101.451612903226,4.48387096774194,0.387096774193548,0.564516129032258,0.0645161290322581,0.032258064516129,0.903225806451613,0.0967741935483871,0.258064516129032,0.838709677419355,0.0645161290322581,0.0645161290322581,0.290322580645161,0.0645161290322581,1.7741935483871,1
33,159.387096774194,3.12903225806452,0.209677419354839,0.32258064516129,0,0.225806451612903,0.67741935483871,0.290322580645161,0.193548387096774,0.225806451612903,0.516129032258065,0.0967741935483871,0.0967741935483871,0.032258064516129,1,1
34,108.338709677419,3.38709677419355,0.548387096774194,0.306451612903226,0.32258064516129,0.0645161290322581,0.870967741935484,0.193548387096774,0.612903225806452,0.032258064516129,0.548387096774194,0.193548387096774,0.193548387096774,0.483870967741935,1.51612903225806,0.866666666666667
35,126.233870967742,5.35483870967742,0.532258064516129,0.564516129032258,0.290322580645161,0.451612903225806,0.838709677419355,0.225806451612903,0.903225806451613,0.225806451612903,0.387096774193548,0.354838709677419,0.32258064516129,0.0645161290322581,1.80645161290323,0.347826086956522
36,189.370967741935,4.35483870967742,0.661290322580645,0.82258064516129,0.483870967741935,0.0967741935483871,0.419354838709677,0.645161290322581,0.741935483870968,0.161290322580645,0.193548387096774,0.161290322580645,0.548387096774194,0.870967741935484,2.19354838709677,0
37,82.4677419354839,3.03225806451613,0.290322580645161,0.467741935483871,0.290322580645161,0.129032258064516,0.645161290322581,0.193548387096774,0.354838709677419,0.0645161290322581,0.548387096774194,0.225806451612903,0.129032258064516,0.032258064516129,0.935483870967742,1
38,87.4354838709677,4.32258064516129,0.403225806451613,0.387096774193548,0.354838709677419,0.258064516129032,0.516129032258065,0.67741935483871,0.645161290322581,0.193548387096774,0.548387096774194,0.516129032258065,0.870967741935484,0.935483870967742,2.35483870967742,0
39,135.161290322581,4.41935483870968,0.387096774193548,0.564516129032258,0.354838709677419,0.354838709677419,1,0.032258064516129,0.967741935483871,0.193548387096774,0.290322580645161,0.129032258064516,0.161290322580645,0.0967741935483871,2.35483870967742,0.0476190476190476
40,87.0322580645161,5.80645161290323,0.67741935483871,0.225806451612903,0.0645161290322581,0,0.290322580645161,0.741935483870968,0.935483870967742,0.0645161290322581,0.193548387096774,0.290322580645161,0.129032258064516,0.129032258064516,1.58064516129032,0.25
41,122.435483870968,4.12903225806452,0.435483870967742,0.451612903225806,0.483870967741935,0.387096774193548,0.67741935483871,0.580645161290323,0.290322580645161,0.580645161290323,0.580645161290323,0.774193548387097,1,0.161290322580645,2.93548387096774,0.0476190476190476
42,96.8306437419355,5.32258064516129,0.5,0.5,0.0645161290322581,0.032258064516129,0.193548387096774,0.806451612903226,0.967741935483871,0.032258064516129,0.032258064516129,0.129032258064516,0.32258064516129,0.387096774193548,1.35483870967742,0.111111111111111
43,117.483870967742,4,0.387096774193548,0.370967741935484,0.548387096774194,0.290322580645161,0.290322580645161,0.709677419354839,0.258064516129032,0.612903225806452,0.645161290322581,0.483870967741935,0.741935483870968,0.709677419354839,2.41935483870968,0
44,128.193548387097,3.29032258064516,0.17741935483871,0.129032258064516,0.451612903225806,0.193548387096774,0.903225806451613,0.193548387096774,0.580645161290323,0.129032258064516,0.354838709677419,0.32258064516129,0.129032258064516,0.0645161290322581,1.48387096774194,0.166666666666667
45,92.8199508709677,2.87096774193548,0.403225806451613,0.548387096774194,0.258064516129032,0.032258064516129,0.451612903225806,0.290322580645161,0.193548387096774,0.129032258064516,0.741935483870968,0.774193548387097,0.967741935483871,0.193548387096774,2.16129032258065,0.0645161290322581
46,89.5967741935484,5.90322580645161,0.161290322580645,0.274193548387097,0.290322580645161,0.129032258064516,0.935483870967742,0.0645161290322581,1,0.032258064516129,0.161290322580645,0.0967741935483871,0.258064516129032,0,1.74193548387097,0.5
47,119.758064516129,5.2258064516129,0.516129032258065,0.435483870967742,0.32258064516129,0.129032258064516,0.741935483870968,0.354838709677419,0.419354838709677,0.806451612903226,0.0645161290322581,0.161290322580645,0,0,1.7741935483871,0.0666666666666667
48,73.6558515483871,3.87096774193548,0.225806451612903,0.370967741935484,0,0.032258064516129,0.67741935483871,0.483870967741935,0.419354838709677,0.451612903225806,0.354838709677419,0.225806451612903,0.967741935483871,0.193548387096774,1.54838709677419,1
49,75.6290322580645,3.25806451612903,0.387096774193548,0.274193548387097,0.0967741935483871,0.0967741935483871,0.967741935483871,0.032258064516129,0.451612903225806,0.258064516129032,0.548387096774194,0.645161290322581,0.290322580645161,0,1.83870967741935,0.409090909090909
50,123.685483870968,5.06451612903226,0.483870967741935,0.467741935483871,0.161290322580645,0,0.967741935483871,0.032258064516129,0.935483870967742,0.032258064516129,0.612903225806452,0.225806451612903,0.774193548387097,0.709677419354839,1.48387096774194,0.482758620689655
51,120.564516129032,4.80645161290323,0.129032258064516,0.17741935483871,0.032258064516129,0.0645161290322581,1,0,0.967741935483871,0,0.225806451612903,0.0645161290322581,0.0967741935483871,0,1.51612903225806,0.208333333333333
52,117.306451612903,4.51612903225806,0.532258064516129,0.225806451612903,0.354838709677419,0,0.806451612903226,0.290322580645161,0.548387096774194,0.32258064516129,0.193548387096774,0.0645161290322581,0.0645161290322581,0.0645161290322581,1.12903225806452,0.692307692307692
53,122.806451612903,2.45161290322581,0.225806451612903,0.5,0.451612903225806,0.0645161290322581,0.645161290322581,0.258064516129032,0.129032258064516,0.032258064516129,0.709677419354839,0.290322580645161,0.645161290322581,0.967741935483871,2.06451612903226,0.733333333333333
54,73.5322580645161,3.35483870967742,0.225806451612903,0.580645161290323,0.516129032258065,0.580645161290323,0.870967741935484,0.129032258064516,0.419354838709677,0.129032258064516,0.548387096774194,0.612903225806452,0.67741935483871,0.032258064516129,1.90322580645161,0.5
55,109.040322580645,2.7741935483871,0.661290322580645,0.516129032258065,0.387096774193548,0.0645161290322581,0.806451612903226,0.32258064516129,0.354838709677419,0.193548387096774,0.741935483870968,0.741935483870968,0.967741935483871,0.419354838709677,2.54838709677419,0
56,139.145161290323,3.2258064516129,0.403225806451613,0.596774193548387,0.548387096774194,0.193548387096774,0.967741935483871,0,0.580645161290323,0,0.580645161290323,0.580645161290323,0.645161290322581,0.32258064516129,1.96774193548387,0.533333333333333
57,93.3735380967742,4.25806451612903,0.580645161290323,0.338709677419355,0.354838709677419,0.0645161290322581,0.903225806451613,0.0967741935483871,0.580645161290323,0.161290322580645,0.0967741935483871,0.0645161290322581,0.419354838709677,0.032258064516129,2.03225806451613,0
58,107.209677419355,3.93548387096774,0.467741935483871,0.419354838709677,0.354838709677419,0,0.741935483870968,0.193548387096774,0.32258064516129,0.193548387096774,0.548387096774194,0.451612903225806,0.290322580645161,0,1.87096774193548,0.125
